drug_name,target,ChemicalStructure
CP724714,ERBB2,
CPI-613,"Metabo, Mitochondria",OC(=O)CCCCC(CCSCC1=CC=CC=C1)SCC1=CC=CC=C1
CUDC-101,"HDAC1-10, EGFR, ERBB2",COC1=C(OCCCCCCC(=O)NO)C=C2C(NC3=CC=CC(=C3)C#C)=NC=NC2=C1
CX-5461,RNA Polymerase 1,
Cabozantinib,"VEGFR, MET, RET, KIT, FLT1, FLT3, FLT4, TIE2,AXL",COC1=CC2=C(C=C1OC)C(OC1=CC=C(NC(=O)C3(CC3)C(=O)NC3=CC=C(F)C=C3)C=C1)=CC=N2
Cetuximab,EGFR,
Cisplatin,DNA crosslinker,[H][N]([H])([H])[Pt](Cl)(Cl)[N]([H])([H])[H]
Crizotinib,"MET, ALK, ROS1",C[C@@H](OC1=CC(=CN=C1N)C1=CN(N=C1)C1CCNCC1)C1=C(Cl)C=CC(F)=C1Cl
Cyclopamine,SMO,
Cytarabine,Antimetabolite,NC1=NC(=O)N(C=C1)[C@@H]1O[C@H](CO)[C@@H](O)[C@@H]1O
DMOG,HIF-PH,
Dabrafenib,BRAF,CC(C)(C)C1=NC(=C(S1)C1=NC(N)=NC=C1)C1=C(F)C(NS(=O)(=O)C2=C(F)C=CC=C2F)=CC=C1
Dacinostat,HDAC1,
Dactolisib,"PI3K (class 1), MTORC1, MTORC2",CN1C(=O)N(C2=C1C=NC1=CC=C(C=C21)C1=CN=C2C=CC=CC2=C1)C1=CC=C(C=C1)C(C)(C)C#N
Daporinad,NAMPT,O=C(NCCCCC1CCN(CC1)C(=O)C1=CC=CC=C1)\C=C\C1=CC=CN=C1
Dasatinib,"ABL, SRC, Ephrins, PDGFR, KIT",CC1=NC(NC2=NC=C(S2)C(=O)NC2=C(C)C=CC=C2Cl)=CC(=N1)N1CCN(CCO)CC1
Docetaxel,Microtubule stabiliser,[H][C@@]12C[C@H](O)[C@@]3(C)C(=O)[C@H](O)C4=C(C)[C@H](C[C@@](O)([C@@H](OC(=O)C5=CC=CC=C5)[C@]3([H])[C@@]1(CO2)OC(C)=O)C4(C)C)OC(=O)[C@H](O)[C@@H](NC(=O)OC(C)(C)C)C1=CC=CC=C1
Doramapimod,"p38, JNK2",
Doxorubicin,Anthracycline,COC1=CC=CC2=C1C(=O)C1=C(O)C3=C(C[C@](O)(C[C@@H]3O[C@H]3C[C@H](N)[C@H](O)[C@H](C)O3)C(=O)CO)C(O)=C1C2=O
EHT-1864,"RAC1, RAC2, RAC3",
ETP-45835,"MNK1, MNK2",
Elesclomol,HSP90,CN(NC(=O)CC(=O)NN(C)C(=S)C1=CC=CC=C1)C(=S)C1=CC=CC=C1
Embelin,XIAP,
Entinostat,"HDAC1, HDAC3",NC1=CC=CC=C1NC(=O)C1=CC=C(CNC(=O)OCC2=CN=CC=C2)C=C1
Enzastaurin,PKCB,CN1C=C(C2=CC=CC=C12)C1=C(C(=O)NC1=O)C1=CN(C2CCN(CC3=CC=CC=N3)CC2)C2=CC=CC=C12
Epothilone B,Microtubule stabiliser,
Erlotinib,EGFR,COCCOC1=CC2=C(C=C1OCCOC)C(NC1=CC(=CC=C1)C#C)=NC=N2
Etoposide,TOP2,[H][C@]12COC(=O)[C@]1([H])[C@H](C1=CC(OC)=C(O)C(OC)=C1)C1=CC3=C(OCO3)C=C1[C@H]2O[C@@H]1O[C@]2([H])CO[C@@H](C)O[C@@]2([H])[C@H](O)[C@H]1O
FH535,"PPARgamma, PPARdelta",
FMK,RSK,
FR-180204,"ERK1, ERK2",
FTI-277,Farnesyl-transferase (FNTA),
FTY-720,S1P,
Fedratinib,JAK2,CC1=CN=C(NC2=CC=C(OCCN3CCCC3)C=C2)NC1=NC1=CC(=CC=C1)S(=O)(=O)NC(C)(C)C
Flavopiridol,CDK,
Foretinib,"MET, KDR, TIE2, VEGFR3/FLT4, RON, PDGFR, FGFR1, EGFR",COC1=C(OCCCN2CCOCC2)C=C2N=CC=C(OC3=C(F)C=C(C=C3)N=C(O)C3(CC3)C(=O)NC3=CC=C(F)C=C3)C2=C1
GNF-2,BCR-ABL,
GSK1059615,PI3K,
GSK1070916,"AURKA, AURKC",
GSK1904529A,"IGF1R, IR",
GSK269962A,"ROCK1, ROCK2",
GSK319347A,IKK,
GSK429286A,"ROCK1, ROCK2",
GSK650394,"SGK2, SGK3",
GSK690693,"AKT1, AKT2, AKT3",
GW-2580,CSF1R,
GW441756,NTRK1,
GW843682X,PLK1,
Gefitinib,EGFR,COC1=C(OCCCN2CCOCC2)C=C2C(NC3=CC(Cl)=C(F)C=C3)=NC=NC2=C1
Gemcitabine,Pyrimidine antimetabolite,NC1=NC(=O)N(C=C1)[C@@H]1O[C@H](CO)[C@@H](O)C1(F)F
Genentech Cpd 10,"AURKA, AURKB",
HG-5-113-01,"LOK, LTK, TRCB, ABL(T315I)",
HG-5-88-01,"EGFR, ADCK4",
HG6-64-1,BRAF,
I-BET-762,"BRD2, BRD3, BRD4",
IC-87114,PI3Kdelta,
ICL1100013,N-myristoyltransferase 1/2,
IMD-0354,IKKb,
IOX2,EGLN1,
IPA-3,PAK1,
Idelalisib,PI3Kdelta,[H][C@@](CC)(NC1=NC=NC2=C1N=CN2)C1=NC2=CC=CC(F)=C2C(=O)N1C1=CC=CC=C1
Imatinib,"ABL, KIT, PDGFR",CN1CCN(CC2=CC=C(C=C2)C(=O)NC2=CC(NC3=NC=CC(=N3)C3=CN=CC=C3)=C(C)C=C2)CC1
Ispinesib Mesylate,KSP,
JNJ38877605,MET,
JNK Inhibitor VIII,JNK,
JNK-9L,"JNK2, JNK3",
JQ1,"BRD2, BRD3, BRD4, BRDT",
JQ12,"HDAC1, HDAC2",
JW-7-24-1,LCK,
JW-7-52-1,MTOR,
KIN001-042,GSK3B,
KIN001-236,Angiopoietin-1 receptor,
KIN001-244,PDK1 (PDPK1),
KIN001-260,IKKB,
KIN001-266,MAP3K8,
KIN001-270,CDK9,
KU-55933,ATM,
Kobe2602,RAS effector,
LCL161,"XIAP, cIAP1, cIAP2",
LDN-193189,BMP,
LFM-A13,BTK,
LGK974,PORCN,
LIMK1 inhibitor BMS4,LIMK1,
Lapatinib,"ERBB2, EGFR",CS(=O)(=O)CCNCC1=CC=C(O1)C1=CC2=C(C=C1)N=CN=C2NC1=CC(Cl)=C(OCC2=CC(F)=CC=C2)C=C1
Lenalidomide,CRBN,NC1=CC=CC2=C1CN(C1CCC(=O)NC1=O)C2=O
Lestaurtinib,"FLT3, JAK2, NTRK1, NTRK2, NTRK3",C[C@]12O[C@H](C[C@]1(O)CO)N1C3=C(C=CC=C3)C3=C1C1=C(C4=C3C(=O)NC4)C3=CC=CC=C3N21
Linifanib,"VEGFR1, VEGFR2, VEGFR3, CSF1R, FLT3, KIT",
Linsitinib,IGF1R,C[C@@]1(O)C[C@@H](C1)C1=NC(=C2N1C=CN=C2N)C1=CC=C2C=CC(=NC2=C1)C1=CC=CC=C1
Luminespib,HSP90,
MG-132,"Proteasome, CAPN1",
MIM1,MCL-1,
MK-2206,"AKT1, AKT2",
MPS-1-IN-1,MPS1,
Masitinib,"KIT, PDGFRA, PDGFRB",CN1CCN(CC2=CC=C(C=C2)C(=O)NC2=CC(N=C3NC(=CS3)C3=CN=CC=C3)=C(C)C=C2)CC1
"MetAP2 Inhibitor, A832234",MetAP2,
Methotrexate,Antimetabolite,CN(CC1=CN=C2N=C(N)N=C(N)C2=N1)C1=CC=C(C=C1)C(=O)N[C@@H](CCC(O)=O)C(O)=O
Midostaurin,"PKC, PPK, FLT1, c-FGR, others",CO[C@@H]1[C@@H](C[C@H]2O[C@]1(C)N1C3=C(C=CC=C3)C3=C1C1=C(C4=C(C=CC=C4)N21)C1=C3CNC1=O)N(C)C(=O)C1=CC=CC=C1
Mirin,MRE11,
Mitomycin-C,DNA crosslinker,
Motesanib,"VEGFR, RET, KIT, PDGFR",CC1(C)CNC2=C1C=CC(=C2)N=C(O)C1=C(NCC2=CC=NC=C2)N=CC=C1
NG-25,"TAK1, MAP4K2",
NPK76-II-72-1,PLK3,
NSC-207895,MDM4,
NSC-87877,"SHP-1 (PTPN6), SHP-2 (PTPN11)",
NSC319726,P53 Mut specific,
NU7441,DNAPK,
NVP-BHG712,EPHB4,
NVP-TAE684,ALK,
Navitoclax,"BCL2, BCL-XL, BCL-W",[H][C@@](CCN1CCOCC1)(CSC1=CC=CC=C1)NC1=C(C=C(C=C1)S(=O)(=O)NC(=O)C1=CC=C(C=C1)N1CCN(CC2=C(CCC(C)(C)C2)C2=CC=C(Cl)C=C2)CC1)S(=O)(=O)C(F)(F)F
Nilotinib,ABL,CC1=CN(C=N1)C1=CC(NC(=O)C2=CC=C(C)C(NC3=NC=CC(=N3)C3=CN=CC=C3)=C2)=CC(=C1)C(F)(F)F
Nutlin-3a (-),MDM2,
OSI-027,"MTORC1, MTORC2",COC1=C2NC(=CC2=CC=C1)C1=C2N(N=CN=C2N)C(=N1)[C@H]1CC[C@@H](CC1)C(O)=O
OSI-930,KIT,FC(F)(F)OC1=CC=C(NC(=O)C2=C(NCC3=CC=NC4=CC=CC=C34)C=CS2)C=C1
OSU-03012,PDK1 (PDPK1),
Obatoclax Mesylate,"BCL2, BCL-XL, BCL-W, MCL1",
Olaparib,"PARP1, PARP2",OC1=NN=C(CC2=CC(C(=O)N3CCN(CC3)C(=O)C3CC3)=C(F)C=C2)C2=CC=CC=C12
Omipalisib,"PI3K (class 1), MTORC1, MTORC2",COC1=C(NS(=O)(=O)C2=C(F)C=C(F)C=C2)C=C(C=N1)C1=CC2=C(C=CN=C2C=C1)C1=CN=NC=C1
PAC-1,"Procaspase-3, Procaspase-7",OC1=C(\C=N\NC(=O)CN2CCN(CC3=CC=CC=C3)CC2)C=CC=C1CC=C
PD0325901,"MEK1, MEK2",
PD173074,"FGFR1, FGFR3",
PF-00299804,"EGFR, ERBB2, ERBB4",
PF-4708671,S6K1,
PF-562271,"FAK, FAK2",
PFI-1,BRD4,
PFI-3,"SMARCA2, SMARCA4, PB1",
PHA-665752,MET,
PHA-793887,"CDK2, CDK7, CDK5",CC(C)CC(O)=NC1=NNC2=C1CN(C(=O)C1CCN(C)CC1)C2(C)C
PI-103,"PI3Kalpha, DAPK3, CLK4, PIM3, HIPK2",
PIK-93,PI3Kgamma,
PLX-4720,BRAF,
Paclitaxel,Microtubule stabiliser,[H][C@]12[C@H](OC(=O)C3=CC=CC=C3)[C@]3(O)C[C@H](OC(=O)[C@H](O)[C@@H](NC(=O)C4=CC=CC=C4)C4=CC=CC=C4)C(C)=C([C@@H](OC(C)=O)C(=O)[C@]1(C)[C@@H](O)C[C@H]1OC[C@@]21OC(C)=O)C3(C)C
Palbociclib,"CDK4, CDK6",CC(=O)C1=C(C)C2=CN=C(NC3=NC=C(C=C3)N3CCNCC3)N=C2N(C2CCCC2)C1=O
Panobinostat,HDAC,[H]\C(=C(\[H])C1=CC=C(CNCCC2=C(C)NC3=CC=CC=C23)C=C1)C(O)=NO
Parthenolide,HDAC1,C\C1=C/CC[C@@]2(C)O[C@H]2[C@H]2OC(=O)C(=C)[C@@H]2CC1
Pazopanib,"CSF1R, KIT,  PDGFRA, PDGFRB",CN(C1=CC2=NN(C)C(C)=C2C=C1)C1=CC=NC(NC2=CC=C(C)C(=C2)S(N)(=O)=O)=N1
Pelitinib,EGFR,CCOC1=CC2=C(C=C1NC(=O)\C=C\CN(C)C)C(NC1=CC(Cl)=C(F)C=C1)=C(C=N2)C#N
Pemetrexed,TYMS,[H][C@@](CCC(O)=O)(NC(=O)C1=CC=C(CCC2=CNC3=C2C(O)=NC(=N)N3)C=C1)C(O)=O
Pevonedistat,NAE,[H][C@]1(O)C[C@@]([H])(C[C@@]1([H])COS(N)(=O)=O)N1C=CC2=C(N[C@@]3([H])CCC4=CC=CC=C34)N=CN=C12
Phenformin,Biguanide agent,NC(=N)NC(=N)NCCC1=CC=CC=C1
Pictilisib,PI3K (class 1),CS(=O)(=O)N1CCN(CC2=CC3=C(S2)C(=NC(=N3)C2=C3C=NNC3=CC=C2)N2CCOCC2)CC1
Pilaralisib,PI3K,COC1=CC=C(Cl)C(NC2=C(NS(=O)(=O)C3=CC(NC(=O)C(C)(C)N)=CC=C3)N=C3C=CC=CC3=N2)=C1
Piperlongumine,Induces reactive oxygen species,
Ponatinib,"ABL, PDGFRA, VEGFR2, FGFR1, SRC, TIE2, FLT3",CN1CCN(CC2=CC=C(NC(=O)C3=CC(C#CC4=CN=C5C=CC=NN45)=C(C)C=C3)C=C2C(F)(F)F)CC1
Pyrimethamine,Dihydrofolate reductase (DHFR),CCC1=C(C(N)=NC(N)=N1)C1=CC=C(Cl)C=C1
QL-VIII-58,"MTOR, ATR",
QL-X-138,BTK,
QL-XI-92,DDR1,
QL-XII-47,"BTK, BMX",
QL-XII-61,"BMX, BTK",
QS11,ARFGAP1,
Quizartinib,FLT3,CC(C)(C)C1=CC(NC(=O)NC2=CC=C(C=C2)C2=CN3C(SC4=C3C=CC(OCCN3CCOCC3)=C4)=N2)=NO1
RO-3306,CDK1,
RU-SKI 43,Shh,
Rapamycin,MTORC1,
Refametinib,"MEK1, MEK2",[H][C@@](O)(CO)CC1(CC1)S(=O)(=O)NC1=C(OC)C=C(F)C(F)=C1NC1=C(F)C=C(I)C=C1
Rucaparib,"PARP1, PARP2",CNCC1=CC=C(C=C1)C1=C2CCNC(=O)C3=C2C(N1)=CC(F)=C3
Ruxolitinib,"JAK1, JAK2",N#CC[C@H](C1CCCC1)N1C=C(C=N1)C1=C2C=CNC2=NC=N1
S-Trityl-L-cysteine,KIF11,
SB216763,"GSK3A, GSK3B",
SB505124,"TGFBR1, ACVR1B, ACVR1C",
SB52334,ALK5,
SB590885,BRAF,
SGC0946,DOT1L,
SL0101,"RSK, AURKB, PIM1, PIM3",
SN-38,TOP1,
SNX-2112,HSP90,
STF-62247,Autophagy inducer,
SU11274,MET,
Salubrinal,EIF2A,
Saracatinib,"ABL, SRC",CN1CCN(CCOC2=CC3=C(C(NC4=C(Cl)C=CC5=C4OCO5)=NC=N3)C(OC3CCOCC3)=C2)CC1
Seliciclib,"CDK2, CDK7, CDK9",CC[C@H](CO)NC1=NC(NCC2=CC=CC=C2)=C2N=CN(C(C)C)C2=N1
Selisistat,SIRT1,NC(=O)C1CCCC2=C1NC1=C2C=C(Cl)C=C1
Selumetinib,"MEK1, MEK2",CN1C=NC2=C1C=C(C(O)=NOCCO)C(NC1=C(Cl)C=C(Br)C=C1)=C2F
Sepantronium bromide,BIRC5,
Serdemetan,MDM2,C(CC1=CNC2=CC=CC=C12)NC1=CC=C(NC2=CC=NC=C2)C=C1
Shikonin,not defined,
Sorafenib,"PDGFR, KIT, VEGFR, RAF",CNC(=O)C1=NC=CC(OC2=CC=C(NC(=O)NC3=CC(=C(Cl)C=C3)C(F)(F)F)C=C2)=C1
Sphingosine Kinase 1 Inhibitor II,Sphingosine Kinase,
Sunitinib,"PDGFR, KIT, VEGFR, FLT3, RET, CSF1R",CCN(CC)CCNC(=O)C1=C(C)NC(\C=C2/C(=O)NC3=C2C=C(F)C=C3)=C1C
T0901317,"LXR, FXR",
TAK-715,"p38alpha, p38beta",
TGX221,PI3Kbeta,
THZ-2-102-1,CDK7,
THZ-2-49,CDK9,
TL-1-85,TAK,
TL-2-105,not defined,
TPCA-1,IKK2,
TW 37,"BCL2, BCL-XL, MCL1",
TWS119,GSK3,
Talazoparib,"PARP1, PARP2",CN1N=CN=C1[C@@H]1[C@H](NC2=C3C1=NNC(=O)C3=CC(F)=C2)C1=CC=C(F)C=C1
Tamoxifen,ESR1,CC\C(=C(/C1=CC=CC=C1)C1=CC=C(OCCN(C)C)C=C1)C1=CC=CC=C1
Tanespimycin,HSP90,[H]/C1=C([H])/[C@]([H])(OC)[C@@]([H])(OC(O)=N)C(C)=C([H])[C@]([H])(C)[C@@]([H])(O)[C@]([H])(C[C@]([H])(C)CC2=C(NCC=C)C(=O)C=C(N=C(O)\C(C)=C\1/[H])C2=O)OC
Temozolomide,DNA alkylating agent,CN1N=NC2=C(N=CN2C1=O)C(N)=O
Temsirolimus,MTOR,OCC(C)(CO)C(=O)O[C@@H]1CC[C@@H](C[C@@H](C)[C@]2([H])CC(=O)[C@H](C)\C=C(C)\[C@@H](O)[C@@H](OC)C(=O)[C@H](C)C[C@H](C)\C=C\C=C\C=C(C)\[C@@H](OC)C[C@]3([H])CC[C@@H](C)[C@@](O)(O3)C(=O)C(=O)N3CCCC[C@H]3C(=O)O2)C[C@H]1OC
Tenovin-6,SIRT,
Thapsigargin,SERCA,
Tipifarnib,Farnesyl-transferase (FNTA),CN1C=NC=C1[C@@](N)(C1=CC=C(Cl)C=C1)C1=CC2=C(C=C1)N(C)C(=O)C=C2C1=CC(Cl)=CC=C1
Tivozanib,"VEGFR1, VEGFR2, VEGFR3",COC1=C(OC)C=C2C(OC3=CC(Cl)=C(C=C3)N=C(O)N=C3NOC(C)=C3)=CC=NC2=C1
Torin 2,mTOR,
Tozasertib,"AURKA, AURKB, AURKC, others",
Trametinib,"MEK1, MEK2",CN1C(=O)C(C)=C2N(C(=O)N(C3CC3)C(=O)C2=C1NC1=CC=C(I)C=C1F)C1=CC(NC(C)=O)=CC=C1
Tretinoin,Retinoic acid,C\C(\C=C\C1=C(C)CCCC1(C)C)=C/C=C/C(/C)=C/C(O)=O
Trichostatin A,HDAC,
Tubastatin A,"HDAC1, HDAC6, HDAC8",
UNC0638,G9a and GLP methyltransferases,
UNC0642,"G9a(EHMT2), GLP(EHMT1)",
UNC1215,L3MBTL3,
VNLG/124,"HDAC,RAR",
VX-11e,ERK2,
VX-702,p38,NC(=O)N(C1=CC=C(C(N)=O)C(=N1)C1=CC=C(F)C=C1F)C1=C(F)C=CC=C1F
Veliparib,"PARP1, PARP2",C[C@@]1(CCCN1)C1=NC2=CC=CC(C(N)=O)=C2N1
Venotoclax,BCL-2 selective,
Vinblastine,Microtubule destabiliser,[H][C@@]12N(C)C3=CC(OC)=C(C=C3[C@@]11CCN3CC=C[C@](CC)([C@@]13[H])[C@@]([H])(OC(C)=O)[C@]2(O)C(=O)OC)[C@]1(C[C@@]2([H])CN(C[C@](O)(CC)C2)CCC2=C1NC1=CC=CC=C21)C(=O)OC
Vinorelbine,Microtubule destabiliser,[H][C@@]12N(C)C3=CC(OC)=C(C=C3[C@@]11CCN3CC=C[C@](CC)([C@@]13[H])[C@@]([H])(OC(C)=O)[C@]2(O)C(=O)OC)[C@]1(C[C@@]2([H])CN(CC(CC)=C2)CC2=C1NC1=CC=CC=C21)C(=O)OC
Vismodegib,SMO,CS(=O)(=O)C1=CC(Cl)=C(C=C1)C(=O)NC1=CC=C(Cl)C(=C1)C1=CC=CC=N1
Vorinostat,"HDAC inhibitor Class I, IIa, IIb, IV",ONC(=O)CCCCCCC(=O)NC1=CC=CC=C1
Voxtalisib,"PI3K (class 1), DNAPK, MTOR",CCN1C(=O)C(=CC2=C(C)N=C(N)N=C12)C1=CC=NN1
WH-4-023,"SRC, LCK",
WHI-P97,JAK3,
WYE-125132,mTOR,
WZ-1-84,BMX,
WZ3105,"SRC, ROCK2, NTRK2, FLT3, IRAK1, others",
Wee1 Inhibitor,"WEE1, CHEK1",
Wnt-C59,PORCN,
XAV939,"TNKS1, TNKS2",
XMD11-85h,"BRSK2, FLT4, MARK4, PRKCD, RET, SRPK1",
XMD13-2,RIPK1,
XMD14-99,"ALK, CDK7, LTK, others",
XMD15-27,CAMK2,
XMD8-85,"ERK5, BET",
XMD8-92,MAPK7,
Y-39983,ROCK,
YK-4-279,RNA helicase A,
YM201636,PIKFYVE,
Z-LLNle-CHO,gamma-secretase,
ZG-10,JNK1,
ZM447439,"AURKA, AURKB",
ZSTK474,PI3K (class 1),
Zibotentan,Endothelin-1 receptor (EDNRA),COC1=NC(C)=CN=C1NS(=O)(=O)C1=CC=CN=C1C1=CC=C(C=C1)C1=NN=CO1
"eEF2K Inhibitor, A-484954",eEF2K,
kb NB 142-70,PKD,
rTRAIL,TRAIL receptor agonist,
'5'-O-(N-(L-Alanyl)-Sulfamoyl)Adenosine,Bifunctional glutamate/proline--tRNA ligase,[H][C@@](C)(N)C(O)=NS(=O)(=O)OC[C@@]1([H])O[C@@]([H])(N2C=NC3=C(N)N=CN=C23)[C@]([H])(O)[C@]1([H])O
'5'-O-(N-(L-Prolyl)-Sulfamoyl)Adenosine,Bifunctional glutamate/proline--tRNA ligase,[H][C@]1(CCCN1)C(O)=NS(=O)(=O)OC[C@@]1([H])O[C@@]([H])(N2C=NC3=C(N)N=CN=C23)[C@]([H])(O)[C@]1([H])O
"((2r,3s,5r)-3-Hydroxy-5-(4-Hydroxy-2-Oxo-3,4-Dihydropyrimidin-1(2h)-Yl)-Tetrahydrofuran-2-Yl)Methyldihydrogen Phosphate",Deoxycytidylate deaminase,[H][C@]1(O)C[C@@]([H])(O[C@]1([H])COP(O)(O)=O)N1C=C[C@@]([H])(O)N=C1O
"(1'R,2'S)-9-(2-Hydroxy-3'-Keto-Cyclopenten-1-yl)Adenine",Adenosylhomocysteinase,NC1=NC=NC2=C1N=CN2[C@@H]1C=C[C@H](O)[C@H]1O
"(1,10 Phenanthroline)-(Tri-Carbon Monoxide) Rhenium (I)",Azurin,[O]#C[Re+]1(C#[O])(C#[O])[N]2=CC=CC3=C2C2=C(C=CC=[N]12)C=C3
(1-Benzyl-5-methoxy-2-methyl-1H-indol-3-yl)acetic acid,"Phospholipase A2, membrane associated",COC1=CC2=C(C=C1)N(CC1=CC=CC=C1)C(C)=C2CC(O)=O
"(1-HYDROXY-1-PHOSPHONO-2-[1,1';3',1'']TERPHENYL-3-YL-ETHYL)-PHOSPHONIC ACID","Ditrans,polycis-undecaprenyl-diphosphate synthase ((2E,6E)-farnesyl-diphosphate specific)",OC(CC1=CC=CC(=C1)C1=CC(=CC=C1)C1=CC=CC=C1)(P(O)(O)=O)P(O)(O)=O
"(1-HYDROXY-1-PHOSPHONO-2-[1,1';4',1'']TERPHENYL-3-YL-ETHYL)-PHOSPHONIC ACID","Ditrans,polycis-undecaprenyl-diphosphate synthase ((2E,6E)-farnesyl-diphosphate specific)",OC(CC1=CC=CC(=C1)C1=CC=C(C=C1)C1=CC=CC=C1)(P(O)(O)=O)P(O)(O)=O
"(1-HYDROXYHEPTANE-1,1-DIYL)BIS(PHOSPHONIC ACID)",Geranylgeranyl pyrophosphate synthase,CCCCCCC(O)(P(O)(O)=O)P(O)(O)=O
"(1-HYDROXYNONANE-1,1-DIYL)BIS(PHOSPHONIC ACID)",Geranylgeranyl pyrophosphate synthase,CCCCCCCCC(O)(P(O)(O)=O)P(O)(O)=O
(1-Methyl-1h-Imidazol-2-Yl)-(3-Methyl-4-{3-[(Pyridin-3-Ylmethyl)-Amino]-Propoxy}-Benzofuran-2-Yl)-Methanone,Glycylpeptide N-tetradecanoyltransferase,CN1C=CN=C1C(=O)C1=C(C)C2=C(O1)C=CC=C2OCCCNCC1=CN=CC=C1
